feature,score,rank,selected
e_log1p_exp,89.78540948525979,1,1
e_n_exp,78.54756169037589,2,1
i_log1p_n_exp,0.874024770471903,3,1
u_n_uniq_items,0.6145880617896438,4,1
i_share_first,0.47457303275343704,5,1
i_credit_first,0.4745730327534368,6,1
i_log1p_n_covisit,0.2585843896144009,7,1
u_n_events,0.24386567367805684,8,1
i_log1p_n_users,0.17034407142819552,9,1
u_log1p_n_uniq,0.1592385550926889,10,1
i_share_linear,0.04929472407984591,11,1
i_credit_linear,0.04929472407984588,12,1
i_credit_last,0.028018082824999437,13,1
i_share_last,0.028018082824999416,14,1
u_log1p_n_events,0.013654900023032043,15,1
